Feature,Type
KBA05_MOD1,ordinal
KBA05_MOD2,ordinal
KBA05_MOD3,ordinal
KBA05_MOD4,ordinal
KBA05_MOD8,ordinal
KBA05_MODTEMP,ordinal
KBA05_MOTOR,ordinal
KBA05_MOTRAD,ordinal
KBA05_SEG1,ordinal
KBA05_SEG10,ordinal
KBA05_SEG2,ordinal
KBA05_SEG3,ordinal
KBA05_SEG4,ordinal
KBA05_SEG5,ordinal
KBA05_SEG6,ordinal
KBA05_SEG7,ordinal
KBA05_SEG8,ordinal
KBA05_SEG9,ordinal
KBA05_VORB0,ordinal
KBA05_VORB1,ordinal
KBA05_VORB2,ordinal
KBA05_ZUL1,ordinal
KBA05_ZUL2,ordinal
KBA05_ZUL3,ordinal
KBA05_ZUL4,ordinal
KBA13_ALTERHALTER_30,ordinal
KBA13_ALTERHALTER_45,ordinal
KBA13_ALTERHALTER_60,ordinal
KBA13_ALTERHALTER_61,ordinal
KBA13_ANZAHL_PKW,numeric
KBA13_AUDI,ordinal
KBA13_AUTOQUOTE,ordinal
KBA13_BJ_1999,ordinal
KBA13_BJ_2000,ordinal
KBA13_BJ_2004,ordinal
KBA13_BJ_2006,ordinal
KBA13_BJ_2008,ordinal
KBA13_BJ_2009,ordinal
KBA13_BMW,ordinal
KBA13_CCM_1000,ordinal
KBA13_CCM_1200,ordinal
KBA13_CCM_1400,ordinal
KBA13_CCM_0_1400,ordinal
KBA13_CCM_1500,ordinal
KBA13_CCM_1400_2500,ordinal
KBA13_CCM_1600,ordinal
KBA13_CCM_1800,ordinal
KBA13_CCM_2000,ordinal
KBA13_CCM_2500,ordinal
KBA13_CCM_2501,ordinal
KBA13_CCM_3000,ordinal
KBA13_CCM_3001,ordinal
KBA13_FAB_ASIEN,ordinal
KBA13_FAB_SONSTIGE,ordinal
KBA13_FIAT,ordinal
KBA13_FORD,ordinal
KBA13_HALTER_20,ordinal
KBA13_HALTER_25,ordinal
KBA13_HALTER_30,ordinal
KBA13_HALTER_35,ordinal
KBA13_HALTER_40,ordinal
KBA13_HALTER_45,ordinal
KBA13_HALTER_50,ordinal
KBA13_HALTER_55,ordinal
KBA13_HALTER_60,ordinal
KBA13_HALTER_65,ordinal
KBA13_HALTER_66,ordinal
KBA13_HERST_ASIEN,ordinal
KBA13_HERST_AUDI_VW,ordinal
KBA13_HERST_BMW_BENZ,ordinal
KBA13_HERST_EUROPA,ordinal
KBA13_HERST_FORD_OPEL,ordinal
KBA13_HERST_SONST,ordinal
KBA13_KMH_110,ordinal
KBA13_KMH_140,ordinal
KBA13_KMH_180,ordinal
KBA13_KMH_0_140,ordinal
KBA13_KMH_140_210,ordinal
KBA13_KMH_211,ordinal
KBA13_KMH_250,ordinal
KBA13_KMH_251,ordinal
KBA13_KRSAQUOT,ordinal
KBA13_KRSHERST_AUDI_VW,ordinal
KBA13_KRSHERST_BMW_BENZ,ordinal
KBA13_KRSHERST_FORD_OPEL,ordinal
KBA13_KRSSEG_KLEIN,ordinal
KBA13_KRSSEG_OBER,ordinal
KBA13_KRSSEG_VAN,ordinal
KBA13_KRSZUL_NEU,ordinal
KBA13_KW_30,ordinal
KBA13_KW_40,ordinal
KBA13_KW_50,ordinal
KBA13_KW_60,ordinal
KBA13_KW_0_60,ordinal
KBA13_KW_70,ordinal
KBA13_KW_61_120,ordinal
KBA13_KW_80,ordinal
KBA13_KW_90,ordinal
KBA13_KW_110,ordinal
KBA13_KW_120,ordinal
KBA13_KW_121,ordinal
KBA13_MAZDA,ordinal
KBA13_MERCEDES,ordinal
KBA13_MOTOR,ordinal
KBA13_NISSAN,ordinal
KBA13_OPEL,ordinal
KBA13_PEUGEOT,ordinal
KBA13_RENAULT,ordinal
KBA13_SEG_GELAENDEWAGEN,ordinal
KBA13_SEG_GROSSRAUMVANS,ordinal
KBA13_SEG_KLEINST,ordinal
KBA13_SEG_KLEINWAGEN,ordinal
KBA13_SEG_KOMPAKTKLASSE,ordinal
KBA13_SEG_MINIVANS,ordinal
KBA13_SEG_MINIWAGEN,ordinal
KBA13_SEG_MITTELKLASSE,ordinal
KBA13_SEG_OBEREMITTELKLASSE,ordinal
KBA13_SEG_OBERKLASSE,ordinal
KBA13_SEG_SONSTIGE,ordinal
KBA13_SEG_SPORTWAGEN,ordinal
KBA13_SEG_UTILITIES,ordinal
KBA13_SEG_VAN,ordinal
KBA13_SEG_WOHNMOBILE,ordinal
KBA13_SITZE_4,ordinal
KBA13_SITZE_5,ordinal
KBA13_SITZE_6,ordinal
KBA13_TOYOTA,ordinal
KBA13_VORB_0,ordinal
KBA13_VORB_1,ordinal
KBA13_VORB_1_2,ordinal
KBA13_VORB_2,ordinal
KBA13_VORB_3,ordinal
KBA13_VW,ordinal
KKK,ordinal
KONSUMNAEHE,ordinal
LP_FAMILIE_FEIN,nominal
LP_FAMILIE_GROB,nominal
LP_LEBENSPHASE_FEIN,nominal
LP_LEBENSPHASE_GROB,nominal
LP_STATUS_FEIN,nominal
LP_STATUS_GROB,nominal
MIN_GEBAEUDEJAHR,numeric
MOBI_REGIO,ordinal
NATIONALITAET_KZ,nominal
ONLINE_AFFINITAET,ordinal
ORTSGR_KLS9,ordinal
OST_WEST_KZ,nominal
PLZ8_ANTG1,ordinal
PLZ8_ANTG2,ordinal
PLZ8_ANTG3,ordinal
PLZ8_ANTG4,ordinal
PLZ8_BAUMAX,ordinal
PLZ8_GBZ,ordinal
PLZ8_HHZ,ordinal
PRAEGENDE_JUGENDJAHRE,nominal
REGIOTYP,nominal
RELAT_AB,ordinal
RETOURTYP_BK_S,ordinal
SEMIO_DOM,ordinal
SEMIO_ERL,ordinal
SEMIO_FAM,ordinal
SEMIO_KAEM,ordinal
SEMIO_KRIT,ordinal
SEMIO_KULT,ordinal
SEMIO_LUST,ordinal
SEMIO_MAT,ordinal
SEMIO_PFLICHT,ordinal
SEMIO_RAT,ordinal
SEMIO_REL,ordinal
SEMIO_SOZ,ordinal
SEMIO_TRADV,ordinal
SEMIO_VERT,ordinal
SHOPPER_TYP,nominal
SOHO_FLAG,nominal
TITEL_KZ,nominal
VERS_TYP,nominal
WOHNDAUER_2008,ordinal
WOHNLAGE,ordinal
WACHSTUMSGEBIET_NB,ordinal
W_KEIT_KIND_HH,ordinal
ZABEOTYP,nominal
